Kod 	Klartext
96501 	"Misstanke om Hodgkins sjd"
96503 	"Hodgkins sjukdom (HD) UNS"
96513 	"HL, lymfocytrik typ"
96523 	"HD mixed cellularity UNS"
96533 	"HD lymphocytic depletion UNS"
96543 	"HD l.d. diffuse fibrosis"
96553 	"HD l.d. reticular"
96573 	"HD lymphocytic predominance UNS"
96583 	"HD diffus lymfohistiocytär typ"
96593 	"HD nodulär lymfohistiocytär typ"
96603 	"(Hodgkin's paragranuloma)"
96613 	"(Hodgkin's granuloma)"
96623 	"(Hodgkin's sarcoma)"
96633 	"HD nodulär scleros UNS (typ I och II)"
96643 	"HD nodulär skleros cellulär fas"
96653 	"HD nodulär skleros, lymfocytic predominance"
96663 	"HD nodulär skleros mixed cellularity"
96673 	"HD nodulär skleros lymfocytic depletion"
96703 	"DLWD (diffuse lymphocytic well diff)"
96711 	"misstänkt immunocytoma"
96713 	"Immunocytoma"
96723 	"DLPD (diffuse lymphocytic poorly diff)"
96743 	"CC"
96753 	"DM (diffuse mixed)"
96763 	"CB/CC diffuse"
96803 	"DH (diffuse histiocytic)"
96831 	"CB diffus suspekt"
96833 	"CB diffuse"
968435 	"Immunoblastic (T-cell)"
968436 	"Immunoblastic (B-cell)"
968535 	"Lymfoblastic (T-cell)"
968536 	"Lymphoblastic (B-cell)"
96863 	"DU (diffuse undifferentiated)"
96873 	"Burkitt's lymphoma"
